jlpt_level,jp,reading,meaning_ko,kind,is_active
N1,"(花を〜) 生ける, 活ける",(はなを～) いける,(꽃을) 배열하다,vocab,true
N1,あくどい,あくどい,화려한 악순환,vocab,true
N1,あざ,あざ,"반점, 타박상",vocab,true
N1,あせる (こえが～),あせる (こえが～),"퇴색하다, 변색되다",vocab,true
N1,あっさり,あっさり,"쉽게, 쉽게, 빠르게",vocab,true
N1,あつらえる,あつらえる,"명령을 내리다, 주문을 하다",vocab,true
N1,あべこべ,あべこべ,"반대, 반대, 반대",vocab,true
N1,あやふや,あやふや,"불확실한, 모호한, 모호한",vocab,true
N1,ありのまま,ありのまま,사실은 있는 그대로 솔직하게,vocab,true
N1,ありふれる,ありふれる,"일반적인, 보통의, 일상적인",vocab,true
N1,いい加減,いいかげん,"무작위, 무책임",vocab,true
N1,いかに,いかに,"어떻게, 어떤 식으로",vocab,true
N1,いかにも,いかにも,정말로 (実に (じつに) 와 동일),vocab,true
N1,いざ,いざ,"자, 와라(이제) 결정적인 순간",vocab,true
N1,いじる,いじる,"만지다, 함부로 다루다",vocab,true
N1,いたって,いたって,"아주, 엄청나게, 극도로",vocab,true
N1,いたわる,いたわる,"동정하다, 위로하다, 배려하다",vocab,true
N1,いっそ,いっそ,"오히려, 더 빨리, 어쩌면",vocab,true
N1,いびき,いびき,쿨쿨,vocab,true
N1,いやに,いやに,"끔찍하게, 끔찍하게",vocab,true
N1,いやらしい,いやらしい,"불쾌한, 역겨운, 음란한",vocab,true
N1,うたた寝,うたたね,"졸음, 낮잠",vocab,true
N1,うっとうしい,うっとうしい,"피곤하다, 짜증나다",vocab,true
N1,うつむく,うつむく,"아래를 내려다보다, 구부리게 하다",vocab,true
N1,うぬぼれ,うぬぼれ,"가식, 자만, 오만",vocab,true
N1,うんざり,うんざり,"지루하다, 지루하다, 싫증이 나다",vocab,true
N1,おおい (かん),おおい (かん),여기요,vocab,true
N1,おおげさ,おおげさ,"거창한, 과장된",vocab,true
N1,おおまかな,おおまかな,"대략적인, 대략적인",vocab,true
N1,おごる (ゆうしょくを～),おごる (ゆうしょくを～),(누군가에게) 대접을 주다,vocab,true
N1,おだてる,おだてる,아첨하다,vocab,true
N1,おっかない,おっかない,"무서운, 무서운",vocab,true
N1,おどおど,おどおど,"움츠려, 머뭇거리며",vocab,true
N1,おびただしい,おびただしい,"풍부하게, 무수히",vocab,true
N1,おまけ,おまけ,할인; 추가적인 것,vocab,true
N1,おむつ,おむつ,"기저귀, 기저귀",vocab,true
N1,おろそか,おろそか,"방치, 태만, 부주의",vocab,true
N1,おんぶ,おんぶ,등에 업다 (erg. Baby),vocab,true
N1,お使い,おつかい,심부름,vocab,true
N1,お供,おとも,"수행자, 동반자",vocab,true
N1,お宮,おみや,신사,vocab,true
N1,お手上げ,おてあげ,"포기하다, 포기하다 희망",vocab,true
N1,お産,おさん,( 낳다 ) 낳다,vocab,true
N1,お袋,おふくろ,어머니,vocab,true
N1,かかと,かかと,신발 뒤꿈치,vocab,true
N1,かく (はじを),かく (はじを),자신을 모욕하다,vocab,true
N1,かさばる,かさばる,부피가 크다,vocab,true
N1,かさむ,かさむ,"쌓이다, 늘리다",vocab,true
N1,かつて,かつて,"한 번, 이전에, 예전에",vocab,true
N1,かなわない,かなわない,"자신의 힘을 넘어서다, 할 수 없다",vocab,true
N1,かぶれる,かぶれる,반응하다; 영향을 받다,vocab,true
N1,かりに,かりに,"일시적으로; 만약, 논쟁을 위해서라면",vocab,true
N1,かろうじて,かろうじて,"간신히, 간신히",vocab,true
N1,がっくり,がっくり,상심한,vocab,true
N1,がっしり,がっしり,"굳건히, 굳건히, 터프한",vocab,true
N1,がっちり,がっちり,"단단하게 세워진, 단단하게 지어진",vocab,true
N1,きしむ,きしむ,"항아리에 넣다, 삐걱거리다, 갈다",vocab,true
N1,きちっと,きちっと,"정확하게, 완벽하게",vocab,true
N1,きっかり,きっかり,"정확하게, 정확하게",vocab,true
N1,きっちり,きっちり,"정확하게, 단단히",vocab,true
N1,きっぱり,きっぱり,"분명하게, 분명히, 분명히",vocab,true
N1,きまりわるい,きまりわるい,"기분이 이상하다, 부끄럽다",vocab,true
N1,きらびやか,きらびやか,"화려한, 화려한, 눈부신",vocab,true
N1,くぐる,くぐる,통과하다; 돌아다니다,vocab,true
N1,くじ (～をひく),くじ (～をひく),"복권, 많이",vocab,true
N1,くじびき,くじびき,"복권, 추첨",vocab,true
N1,くすぐったい,くすぐったい,불안정한,vocab,true
N1,くっきり,くっきり,"뚜렷하게, 뚜렷하게, 대담하게",vocab,true
N1,ぐっと,ぐっと,"단단하게, 빠르게, 더",vocab,true
N1,けがらわしい,けがらわしい,"더러운, 불공평한",vocab,true
N1,けなす,けなす,나쁘게 말하다,vocab,true
N1,げっそり,げっそり,"낙담하다, 살이 빠지다",vocab,true
N1,こじれる,こじれる,"복잡해지다, 악화되다",vocab,true
N1,こす (みずを～),こす (みずを～),"걸러내다, 여과하다",vocab,true
